id,cnpj,municipio,mesorregiao,setor,porte,natureza_juridica,capital_social,num_funcionarios,faturamento_anual_estimado,data_abertura,situacao,data_situacao
1247,66.154.598/5866-35,Navegantes,Vale do Itajaí,Comércio varejista,ME,Sociedade Limitada,254484.98,8,232924.09,2025-02-04,Ativa,
1248,69.059.469/9842-88,Criciúma,Sul Catarinense,Indústria têxtil e vestuário,MEI,Empresário Individual,4139.7,0,21626.18,2019-04-28,Baixada,2021-06-19
1249,98.871.232/0366-86,Indaial,Vale do Itajaí,Beleza e estética,EPP,Sociedade Limitada,4282421.78,31,1044272.48,2024-01-14,Ativa,
1250,60.320.877/8347-10,Joaçaba,Oeste Catarinense,Comércio varejista,MEI,Empresário Individual,8394.78,1,60467.22,2025-02-10,Ativa,
1251,35.623.277/0045-35,Chapecó,Oeste Catarinense,Saúde e bem-estar,MEI,Empresário Individual,13116.81,1,68115.34,2021-12-25,Ativa,
1252,70.424.025/5546-89,Jaraguá do Sul,Norte Catarinense,Indústria têxtil e vestuário,MEI,Empresário Individual,15743.03,0,63437.02,2020-05-30,Ativa,
1253,15.964.673/8656-90,Palhoça,Grande Florianópolis,Indústria têxtil e vestuário,MEI,Empresário Individual,17955.09,1,56797.49,2024-01-17,Suspensa,
1254,48.955.877/0062-39,Blumenau,Vale do Itajaí,Indústria alimentícia,MEI,Empresário Individual,10489.76,0,26298.81,2023-11-02,Ativa,
1255,20.339.801/3871-62,Blumenau,Vale do Itajaí,Alimentação e bebidas,EPP,Sociedade Limitada,2232551.39,,2527562.27,2020-10-15,Ativa,
1256,74.356.702/7728-71,Jaraguá do Sul,Norte Catarinense,Alimentação e bebidas,MEI,Empresário Individual,7088.9,0,14635.17,2019-08-07,Suspensa,
1257,50.553.629/1714-85,Laguna,Sul Catarinense,Indústria metalúrgica,MEI,Empresário Individual,7993.73,1,36388.27,2025-12-18,Ativa,
1258,20.788.216/5119-21,Gaspar,Vale do Itajaí,Indústria alimentícia,MEI,Empresário Individual,5260.87,1,77002.12,2025-04-09,Ativa,
1259,47.308.824/0353-21,Blumenau,Vale do Itajaí,Imobiliário,MEI,Empresário Individual,3829.82,0,14784.85,2022-08-02,Ativa,
1260,09.412.180/5257-95,Navegantes,Vale do Itajaí,Transporte e logística,MEI,Empresário Individual,14998.91,0,52209.72,2019-02-09,Ativa,
1261,18.911.343/4857-13,Lages,Serrana,Comércio varejista,MEI,Empresário Individual,18348.87,0,67232.93,2025-10-25,Ativa,
1262,20.291.381/3014-94,Joinville,Norte Catarinense,Transporte e logística,ME,Sociedade Limitada,159631.64,7,105324.4,2024-03-06,Ativa,
1263,91.990.821/3356-83,Jaraguá do Sul,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,11565.1,0,51909.3,2019-07-27,Suspensa,
1264,03.891.918/7405-01,Florianópolis,Grande Florianópolis,Indústria alimentícia,MEI,Empresário Individual,10292.07,1,79192.15,2023-06-22,Ativa,
1265,76.507.752/5723-16,Joinville,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,19101.02,1,52877.93,2022-01-20,Ativa,
1266,70.399.630/6670-05,Brusque,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,19233.94,0,18404.72,2024-07-30,Ativa,
1267,07.158.009/7140-86,Lages,Serrana,Alimentação e bebidas,EPP,Sociedade Limitada,3407699.73,25,4184157.89,2023-06-15,Ativa,
1268,23.759.097/2285-82,Joinville,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,7415.26,1,32227.53,2023-07-22,Ativa,
1269,34.823.678/8387-36,São José,Grande Florianópolis,Tecnologia da informação,MEI,Empresário Individual,7010.93,0,26598.53,2022-12-29,Ativa,
1270,48.674.163/7120-63,Gaspar,Vale do Itajaí,Agronegócio,MEI,Empresário Individual,1322.89,1,59945.13,2024-12-18,Ativa,
1271,44.157.281/4361-16,Florianópolis,Grande Florianópolis,Alimentação e bebidas,EPP,Sociedade Limitada,2494689.34,12,900917.54,2023-12-17,Suspensa,
1272,55.465.426/8368-43,Jaraguá do Sul,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,17671.56,0,18163.49,2021-03-23,Ativa,
1273,66.003.011/9622-72,Itajaí,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,6511.29,1,55599.95,2021-03-23,Ativa,
1274,36.838.509/5709-34,Mafra,Norte Catarinense,Indústria alimentícia,MEI,Empresário Individual,18234.84,0,59642.12,2024-04-15,Suspensa,
1275,03.484.843/7700-62,Florianópolis,Grande Florianópolis,Indústria têxtil e vestuário,ME,Sociedade Limitada,21601.21,2,100427.66,2023-01-17,Ativa,
1276,66.954.217/5627-52,Concórdia,Oeste Catarinense,Indústria metalúrgica,MEI,Empresário Individual,17649.19,0,33036.78,2022-10-05,Suspensa,
1277,35.163.832/6489-71,Itajaí,Vale do Itajaí,Indústria alimentícia,MEI,Empresário Individual,4889.18,1,43806.05,2024-01-05,Ativa,
1278,13.049.484/1423-55,São José,Grande Florianópolis,Indústria têxtil e vestuário,MEI,Empresário Individual,1242.43,0,20656.05,2023-12-28,Ativa,
1279,98.130.265/6477-11,Tubarão,Sul Catarinense,Educação e treinamento,EPP,Sociedade Limitada,3201185.91,40,3354793.03,2021-04-07,Baixada,2022-06-17
1280,07.911.611/4644-61,Blumenau,Vale do Itajaí,Tecnologia da informação,EPP,Sociedade Limitada,4201952.71,39,4621449.37,2024-11-19,Ativa,
1281,38.852.377/4877-00,Xanxerê,Oeste Catarinense,Beleza e estética,EPP,Sociedade Limitada,3726623.39,39,1972789.41,2019-09-05,Ativa,
1282,08.226.799/0966-60,Criciúma,Sul Catarinense,Tecnologia da informação,MEI,Empresário Individual,5602.76,1,76268.08,2022-10-27,Ativa,
1283,82.100.370/9070-37,Joinville,Norte Catarinense,Serviços profissionais,EPP,Sociedade Limitada,4767813.63,46,3230847.27,2025-02-27,Ativa,
1284,83.484.926/7487-62,Itajaí,Vale do Itajaí,Comércio varejista,ME,Sociedade Limitada,273011.04,4,126817.76,2023-11-16,Ativa,
1285,98.281.794/7795-00,Balneário Camboriú,Vale do Itajaí,Serviços profissionais,EPP,Sociedade Limitada,3965608.99,35,1765979.62,2022-01-06,Ativa,
1286,64.525.733/0907-40,Joinville,Norte Catarinense,Alimentação e bebidas,MEI,Empresário Individual,4532.15,0,39406.93,2019-09-07,Ativa,
1287,37.990.053/6693-32,Brusque,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,3786.12,0,44083.92,2022-11-05,Baixada,2024-08-12
1288,37.225.931/0337-00,Itajaí,Vale do Itajaí,Alimentação e bebidas,Grande,Sociedade Anônima,271067204.57,976,363718419.75,2020-09-04,Ativa,
1289,31.883.845/6125-78,Jaraguá do Sul,Norte Catarinense,Tecnologia da informação,MEI,Empresário Individual,18776.51,0,26104.56,2021-10-25,Ativa,
1290,64.554.421/5783-79,Balneário Camboriú,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,12256.39,1,58749.68,2020-02-18,Baixada,2024-03-25
1291,93.428.839/0397-99,São José,Grande Florianópolis,Serviços profissionais,MEI,Empresário Individual,12955.54,1,25677.11,2020-08-18,Ativa,
1292,65.510.250/6668-60,Criciúma,Sul Catarinense,Indústria metalúrgica,ME,Sociedade Limitada,38105.93,6,87377.17,2021-05-15,Ativa,
1293,91.038.524/2762-21,Chapecó,Oeste Catarinense,Construção civil,Grande,Sociedade Anônima,240805312.14,859,309652724.53,2023-09-07,Ativa,
1294,89.554.656/5317-08,,Não informada,Tecnologia da informação,MEI,Empresário Individual,4912.07,1,53163.39,2022-04-23,Baixada,2023-10-31
1295,56.732.234/8749-39,Itajaí,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,13581.55,1,76861.01,2019-03-06,Ativa,
1296,73.264.478/9378-59,Joaçaba,Oeste Catarinense,Serviços profissionais,MEI,Empresário Individual,3353.01,0,32863.1,2025-07-04,Ativa,
1297,58.104.573/4669-44,Chapecó,Oeste Catarinense,Indústria metalúrgica,MEI,Empresário Individual,15950.95,0,53363.44,2019-08-27,Ativa,
1298,89.056.651/8378-47,Camboriú,Vale do Itajaí,Educação e treinamento,ME,Sociedade Limitada,164167.98,9,327129.08,2025-01-19,Ativa,
1299,93.806.250/2308-99,Criciúma,Sul Catarinense,Tecnologia da informação,Média,Sociedade Anônima Fechada,12583084.17,163,15897123.87,2024-08-20,Ativa,
1300,21.215.603/8710-88,São Bento do Sul,Norte Catarinense,Serviços profissionais,MEI,Empresário Individual,6039.14,0,32573.75,2020-11-08,Suspensa,
1301,47.691.161/2215-03,Florianópolis,Grande Florianópolis,Alimentação e bebidas,MEI,Empresário Individual,8253.46,0,74425.01,2022-04-05,Suspensa,
1302,00.415.893/3352-86,Palhoça,Grande Florianópolis,Agronegócio,MEI,Empresário Individual,11473.73,1,61001.08,2022-12-09,Ativa,
1303,80.101.245/7181-58,Palhoça,Grande Florianópolis,Saúde e bem-estar,MEI,Empresário Individual,6962.11,,64882.99,2024-10-12,Ativa,
1304,51.919.396/8718-67,Florianópolis,Grande Florianópolis,Transporte e logística,ME,Sociedade Limitada,113321.27,2,133924.28,2025-09-14,Ativa,
1305,50.719.612/9332-13,Florianópolis,Grande Florianópolis,Comércio varejista,MEI,Empresário Individual,19010.49,0,60792.34,2025-11-04,Ativa,
1306,17.758.856/2748-06,Blumenau,Vale do Itajaí,Serviços profissionais,Média,Sociedade Anônima Fechada,43705143.94,247,41338262.87,2025-04-23,Ativa,
1307,51.657.121/1860-18,Chapecó,Oeste Catarinense,Comércio varejista,EPP,Sociedade Limitada,3863129.92,18,3560417.72,2023-08-25,Ativa,
1308,79.206.231/4596-88,Florianópolis,Grande Florianópolis,Comércio varejista,ME,Sociedade Limitada,305314.69,4,135591.11,2025-11-22,Ativa,
1309,52.112.036/0816-41,Palhoça,Grande Florianópolis,Beleza e estética,EPP,Sociedade Limitada,3485283.67,16,2893999.22,2025-07-14,Ativa,
1310,14.083.469/5449-50,Canoinhas,Norte Catarinense,Imobiliário,ME,Sociedade Limitada,271502.93,7,315313.91,2021-11-10,Ativa,
1311,98.590.742/9414-29,São Bento do Sul,Norte Catarinense,Comércio varejista,ME,Sociedade Limitada,22156.03,3,274154.72,2024-08-16,Ativa,
1312,95.301.647/2861-74,São José,Grande Florianópolis,Alimentação e bebidas,MEI,Empresário Individual,4403.69,0,64515.6,2023-11-01,Ativa,
1313,62.866.034/9824-68,São José,Grande Florianópolis,Serviços profissionais,MEI,Empresário Individual,3560.26,1,20933.93,2019-02-28,Suspensa,
1314,40.215.723/1252-42,Lages,Serrana,Saúde e bem-estar,ME,Sociedade Limitada,237663.42,2,191437.69,2024-06-01,Ativa,
1315,72.150.520/5353-13,Xanxerê,Oeste Catarinense,Serviços profissionais,MEI,Empresário Individual,1013.07,1,63413.61,2019-05-19,Ativa,
1316,09.129.443/1414-08,Palhoça,Grande Florianópolis,Construção civil,MEI,Empresário Individual,7258.36,0,31882.69,2019-03-10,Ativa,
1317,11.682.313/7998-18,Biguaçu,Grande Florianópolis,Construção civil,MEI,Empresário Individual,17643.07,1,52830.12,2024-03-22,Ativa,
1318,63.558.774/5263-48,Florianópolis,Grande Florianópolis,Comércio varejista,MEI,Empresário Individual,3861.47,1,23221.12,2023-04-18,Suspensa,
1319,88.280.503/4553-88,Itajaí,Vale do Itajaí,Tecnologia da informação,MEI,Empresário Individual,6976.78,1,20850.04,2020-09-02,Baixada,2021-12-16
1320,74.587.120/7531-36,Joinville,Norte Catarinense,Indústria alimentícia,MEI,Empresário Individual,8537.49,1,38198.67,2023-12-13,Ativa,
1321,43.010.614/4529-96,Jaraguá do Sul,Norte Catarinense,Tecnologia da informação,MEI,Empresário Individual,3439.5,0,45172.76,2023-06-11,Ativa,
1322,49.729.697/0100-34,Araranguá,Sul Catarinense,Serviços profissionais,MEI,Empresário Individual,5057.14,1,18671.24,2021-04-18,Ativa,
1323,78.602.159/9279-43,Joinville,Norte Catarinense,Alimentação e bebidas,ME,Sociedade Limitada,255355.58,9,281026.58,2025-02-01,Ativa,
1324,95.480.704/7314-83,Criciúma,Sul Catarinense,Beleza e estética,MEI,Empresário Individual,18157.42,0,77727.89,2024-07-04,Ativa,
1325,00.762.282/1282-19,Navegantes,Vale do Itajaí,Tecnologia da informação,MEI,Empresário Individual,5860.93,1,27261.42,2024-07-26,Baixada,2024-11-29
1326,93.304.596/9206-66,São Bento do Sul,Norte Catarinense,Comércio varejista,EPP,Sociedade Limitada,1092746.69,45,3868204.72,2025-01-09,Ativa,
1327,98.118.465/1242-10,Florianópolis,Grande Florianópolis,Alimentação e bebidas,MEI,Empresário Individual,4452.37,1,57086.8,2020-01-23,Ativa,
1328,81.165.955/8594-21,Caçador,Oeste Catarinense,Transporte e logística,MEI,Empresário Individual,15385.7,0,33178.15,2024-04-24,Ativa,
1329,76.877.759/3586-13,Balneário Camboriú,Vale do Itajaí,Construção civil,ME,Sociedade Limitada,277071.83,7,134964.53,2021-05-04,Ativa,
1330,42.672.339/9076-15,São Bento do Sul,Norte Catarinense,Alimentação e bebidas,MEI,Empresário Individual,12111.66,0,65435.65,2019-10-26,Suspensa,
1331,47.921.499/0108-61,Caçador,Oeste Catarinense,Comércio varejista,MEI,Empresário Individual,3018.98,,48272.6,2025-11-02,Ativa,
1332,57.380.679/9673-67,Concórdia,Oeste Catarinense,Serviços profissionais,EPP,Sociedade Limitada,3485918.66,11,1744685.8,2024-02-29,Ativa,
1333,69.972.459/7155-79,Joinville,Norte Catarinense,Comércio varejista,ME,Sociedade Limitada,290337.22,4,208801.31,2019-07-04,Ativa,
1334,26.096.856/8888-61,Joinville,Norte Catarinense,Transporte e logística,MEI,Empresário Individual,3197.0,1,33269.56,2020-04-30,Ativa,
1335,94.336.447/0263-27,Florianópolis,Grande Florianópolis,Transporte e logística,MEI,Empresário Individual,4808.86,1,46565.86,2024-04-26,Suspensa,
1336,94.715.534/7450-24,Chapecó,Oeste Catarinense,Construção civil,MEI,Empresário Individual,8480.45,1,62739.28,2025-09-01,Ativa,
1337,94.503.754/8078-05,Florianópolis,Grande Florianópolis,Serviços profissionais,MEI,Empresário Individual,13301.62,1,58866.6,2025-09-25,Ativa,
1338,80.407.373/0415-06,Joinville,Norte Catarinense,Comércio varejista,ME,Sociedade Limitada,213121.06,3,282330.74,2023-07-09,Ativa,
1339,33.467.464/6603-32,Joinville,Norte Catarinense,Agronegócio,ME,Sociedade Limitada,46175.92,3,194723.55,2022-07-11,Ativa,
1340,10.102.760/7819-51,Indaial,Vale do Itajaí,Comércio varejista,ME,Sociedade Limitada,102559.71,6,246903.24,2024-04-27,Suspensa,
1341,43.575.478/9350-52,Chapecó,Oeste Catarinense,Beleza e estética,MEI,Empresário Individual,11749.85,1,47767.5,2024-05-02,Baixada,2025-09-18
1342,12.923.613/9123-77,Chapecó,Oeste Catarinense,Comércio varejista,MEI,Empresário Individual,9937.05,1,64178.99,2024-12-02,Ativa,
1343,80.791.065/1064-07,,Não informada,Tecnologia da informação,ME,Sociedade Limitada,254958.95,4,334674.25,2020-02-24,Ativa,
1344,73.654.044/9272-80,Florianópolis,Grande Florianópolis,Construção civil,MEI,Empresário Individual,9385.98,1,78859.98,2022-05-19,Baixada,2025-07-01
1345,98.444.088/9593-03,Balneário Camboriú,Vale do Itajaí,Comércio varejista,EPP,Sociedade Limitada,1447170.09,34,1450927.95,2024-09-03,Ativa,
1346,30.299.966/3309-23,Laguna,Sul Catarinense,Beleza e estética,MEI,Empresário Individual,1096.5,1,22661.54,2023-11-20,Ativa,
1347,73.201.295/3185-00,Blumenau,Vale do Itajaí,Indústria alimentícia,MEI,Empresário Individual,1557.68,0,67423.97,2021-09-29,Ativa,
1348,09.305.484/7385-77,Blumenau,Vale do Itajaí,Comércio varejista,ME,Sociedade Limitada,254924.16,7,116241.93,2020-07-27,Baixada,2023-09-19
1349,27.238.264/2951-85,Balneário Camboriú,Vale do Itajaí,Imobiliário,ME,Sociedade Limitada,104813.34,6,270694.64,2020-09-07,Baixada,2024-07-04
1350,96.954.487/6150-48,Joinville,Norte Catarinense,Serviços profissionais,ME,Sociedade Limitada,284204.87,2,174895.63,2024-12-02,Ativa,
1351,07.695.559/3558-81,Jaraguá do Sul,Norte Catarinense,Tecnologia da informação,MEI,Empresário Individual,10698.0,0,57154.09,2019-05-05,Ativa,
1352,59.254.123/8724-93,Rio do Sul,Vale do Itajaí,Construção civil,ME,Sociedade Limitada,163523.75,6,164707.0,2024-01-04,Ativa,
1353,74.166.239/5671-25,Itajaí,Vale do Itajaí,Construção civil,MEI,Empresário Individual,14503.2,1,53389.33,2019-09-12,Baixada,2021-12-25
1354,27.276.531/4513-41,Chapecó,Oeste Catarinense,Alimentação e bebidas,EPP,Sociedade Limitada,2273310.47,26,3130849.8,2024-01-19,Ativa,
1355,56.216.833/5766-80,Itajaí,Vale do Itajaí,Indústria metalúrgica,EPP,Sociedade Limitada,1616154.49,33,1853571.53,2022-10-20,Ativa,
1356,15.578.521/9793-36,Jaraguá do Sul,Norte Catarinense,Educação e treinamento,MEI,Empresário Individual,19781.73,0,14067.88,2022-05-20,Ativa,
1357,50.105.583/9111-53,Jaraguá do Sul,Norte Catarinense,Imobiliário,ME,Sociedade Limitada,314619.16,7,91057.06,2021-09-20,Suspensa,
1358,03.887.821/8893-84,Joinville,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,14455.09,0,60825.43,2025-11-08,Ativa,
1359,34.812.426/6474-26,,Não informada,Indústria metalúrgica,MEI,Empresário Individual,9213.26,0,63593.45,2024-01-29,Ativa,
1360,81.877.449/9246-87,Blumenau,Vale do Itajaí,Agronegócio,MEI,Empresário Individual,15563.42,0,53349.7,2021-03-06,Baixada,2024-03-13
1361,64.239.402/6908-96,São José,Grande Florianópolis,Alimentação e bebidas,Média,Sociedade Anônima Fechada,11644106.05,195,32670523.95,2025-11-02,Ativa,
1362,32.468.722/0373-37,Blumenau,Vale do Itajaí,Indústria alimentícia,MEI,Empresário Individual,2213.65,0,57628.89,2024-10-28,Ativa,
1363,83.045.596/5765-78,Palhoça,Grande Florianópolis,Educação e treinamento,MEI,Empresário Individual,4871.3,1,45943.85,2019-09-21,Ativa,
1364,94.363.270/5614-65,Chapecó,Oeste Catarinense,Indústria têxtil e vestuário,MEI,Empresário Individual,2274.97,0,75242.92,2022-10-13,Ativa,
1365,52.035.191/9850-56,Joinville,Norte Catarinense,Alimentação e bebidas,MEI,Empresário Individual,6544.95,0,79667.3,2019-09-09,Ativa,
1366,76.632.790/4233-81,Chapecó,Oeste Catarinense,Comércio varejista,MEI,Empresário Individual,1943.58,0,30154.68,2022-08-01,Ativa,
1367,74.965.990/5270-25,Florianópolis,Grande Florianópolis,Comércio varejista,Grande,Sociedade Anônima,485565959.35,1758,69447993.62,2025-11-26,Ativa,
1368,51.306.109/2216-89,Balneário Camboriú,Vale do Itajaí,Serviços profissionais,Média,Sociedade Anônima Fechada,16509970.9,178,-1,2021-06-01,Ativa,
1369,43.126.665/6023-36,Criciúma,Sul Catarinense,Alimentação e bebidas,Média,Sociedade Anônima Fechada,14843295.45,164,48482484.11,2020-03-27,Baixada,2021-10-27
1370,03.670.275/1005-68,Florianópolis,Grande Florianópolis,Serviços profissionais,MEI,Empresário Individual,8951.88,0,43304.55,2019-04-01,Baixada,2020-11-24
1371,23.539.330/5484-95,Itajaí,Vale do Itajaí,Serviços profissionais,MEI,Empresário Individual,15679.43,0,60149.88,2019-11-08,Baixada,2020-07-25
1372,64.685.519/0204-11,Xanxerê,Oeste Catarinense,Turismo e hotelaria,MEI,Empresário Individual,18031.31,1,22024.34,2019-08-18,Baixada,2020-12-05
1373,33.057.543/7009-84,Blumenau,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,1948.17,0,25134.93,2020-02-08,Ativa,
1374,25.928.339/7178-56,Florianópolis,Grande Florianópolis,Educação e treinamento,MEI,Empresário Individual,1627.09,,66253.99,2024-01-13,Baixada,2024-10-25
1375,10.559.169/8331-79,Itajaí,Vale do Itajaí,Construção civil,ME,Sociedade Limitada,134112.09,2,218709.01,2019-05-31,Ativa,
1376,52.593.570/7650-94,Joinville,Norte Catarinense,Imobiliário,MEI,Empresário Individual,10863.51,1,14978.07,2019-04-25,Baixada,2021-03-29
1377,61.186.801/0936-09,Chapecó,Oeste Catarinense,Turismo e hotelaria,MEI,Empresário Individual,3796.89,0,43061.51,2023-10-09,Ativa,
1378,28.058.777/7014-97,Balneário Camboriú,Vale do Itajaí,Tecnologia da informação,EPP,Sociedade Limitada,658559.51,39,577376.35,2025-03-26,Ativa,
1379,77.359.569/1922-05,Joinville,Norte Catarinense,Serviços profissionais,MEI,Empresário Individual,11700.19,1,56676.09,2020-03-06,Ativa,
1380,07.516.748/6735-81,Caçador,Oeste Catarinense,Imobiliário,MEI,Empresário Individual,8624.1,1,66998.56,2023-02-17,Ativa,
1381,58.438.356/9997-12,Jaraguá do Sul,Norte Catarinense,Transporte e logística,MEI,Empresário Individual,10682.25,1,43127.75,2021-12-09,Baixada,2024-12-25
1382,19.196.993/3530-31,Blumenau,Vale do Itajaí,Educação e treinamento,EPP,Sociedade Limitada,633424.1,34,4320740.97,2021-03-30,Suspensa,
1383,55.262.029/4874-78,Joinville,Norte Catarinense,Tecnologia da informação,ME,Sociedade Limitada,234487.94,9,117996.71,2022-08-07,Ativa,
1384,31.778.650/3947-50,Joinville,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,4742.39,1,20433.21,2025-08-10,Suspensa,
1385,53.538.115/7509-27,Blumenau,Vale do Itajaí,Indústria alimentícia,ME,Sociedade Limitada,283341.14,2,164882.91,2024-05-30,Ativa,
1386,39.168.670/8855-06,Joinville,Norte Catarinense,Saúde e bem-estar,MEI,Empresário Individual,12238.96,1,43098.81,2023-04-08,Ativa,
1387,97.493.549/2101-81,Lages,Serrana,Alimentação e bebidas,ME,Sociedade Limitada,,2,97863.69,2022-01-21,Suspensa,
1388,53.848.111/5703-47,Itajaí,Vale do Itajaí,Turismo e hotelaria,ME,Sociedade Limitada,234525.43,4,348668.47,2025-12-24,Suspensa,
1389,20.213.546/9223-94,Chapecó,Oeste Catarinense,Comércio varejista,MEI,Empresário Individual,16989.69,0,38520.03,2022-03-18,Ativa,
1390,47.006.039/8107-95,Florianópolis,Grande Florianópolis,Agronegócio,MEI,Empresário Individual,13661.75,0,38559.56,2021-10-05,Baixada,2023-07-22
1391,68.095.641/8541-33,Florianópolis,Grande Florianópolis,Comércio varejista,MEI,Empresário Individual,15064.04,0,74971.5,2019-12-16,Ativa,
1392,91.578.290/5249-22,São José,Grande Florianópolis,Serviços profissionais,MEI,Empresário Individual,10839.88,0,34683.0,2020-07-29,Ativa,
1393,85.699.391/4265-20,Florianópolis,Grande Florianópolis,Tecnologia da informação,MEI,Empresário Individual,4040.62,1,46760.62,2022-03-05,Ativa,
1394,98.886.659/4818-27,Camboriú,Vale do Itajaí,Agronegócio,EPP,Sociedade Limitada,2358997.2,12,1035531.83,2020-03-18,Ativa,
1395,91.532.180/1130-85,Joinville,Norte Catarinense,Educação e treinamento,MEI,Empresário Individual,17851.39,1,77510.24,2024-02-16,Ativa,
1396,46.267.132/0253-42,Gaspar,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,17857.02,0,-1,2020-11-30,Baixada,2022-10-14
1397,98.766.740/8772-10,Joinville,Norte Catarinense,Serviços profissionais,ME,Sociedade Limitada,144702.81,5,253723.18,2024-04-25,Baixada,2025-04-25
1398,97.247.254/2654-16,Criciúma,Sul Catarinense,Alimentação e bebidas,ME,Sociedade Limitada,94385.69,4,276009.28,2019-03-25,Ativa,
1399,23.818.289/3632-78,Brusque,Vale do Itajaí,Saúde e bem-estar,MEI,Empresário Individual,4379.75,1,63919.45,2025-08-28,Ativa,
1400,95.931.169/9213-53,São José,Grande Florianópolis,Construção civil,MEI,Empresário Individual,4432.27,0,36307.44,2022-01-28,Ativa,
1401,49.499.963/5768-66,Blumenau,Vale do Itajaí,Construção civil,MEI,Empresário Individual,19684.71,0,46197.66,2024-04-06,Ativa,
1402,22.595.513/3059-15,Joinville,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,18327.1,1,17034.19,2022-08-25,Ativa,
1403,63.659.050/4173-72,Blumenau,Vale do Itajaí,Tecnologia da informação,MEI,Empresário Individual,18493.66,0,13787.77,2020-03-25,Ativa,
1404,81.281.718/9935-47,Joinville,Norte Catarinense,Alimentação e bebidas,MEI,Empresário Individual,15950.07,1,80520.24,2024-08-19,Baixada,2025-02-05
1405,31.149.331/0886-23,Brusque,Vale do Itajaí,Turismo e hotelaria,MEI,Empresário Individual,2341.52,0,42445.27,2020-05-06,Ativa,
1406,64.851.002/1824-14,Florianópolis,Grande Florianópolis,Serviços profissionais,ME,Sociedade Limitada,245666.24,1,88463.54,2021-11-28,Suspensa,
1407,14.999.703/2043-47,Florianópolis,Grande Florianópolis,Comércio varejista,MEI,Empresário Individual,19477.79,0,55774.11,2021-12-08,Baixada,2024-07-24
1408,04.131.355/5794-20,,Não informada,Transporte e logística,MEI,Empresário Individual,1824.37,1,16577.69,2020-03-03,Ativa,
1409,61.898.987/8776-77,Palhoça,Grande Florianópolis,Transporte e logística,Grande,Sociedade Anônima,302430046.43,981,240468452.42,2021-08-08,Ativa,
1410,20.487.304/5194-55,Camboriú,Vale do Itajaí,Turismo e hotelaria,MEI,Empresário Individual,13469.35,0,53846.53,2024-03-18,Baixada,2025-08-26
1411,96.403.157/5859-39,Brusque,Vale do Itajaí,Serviços profissionais,MEI,Empresário Individual,16737.68,0,31357.91,2024-02-12,Ativa,
1412,27.195.406/3856-70,Florianópolis,Grande Florianópolis,Beleza e estética,ME,Sociedade Limitada,262102.44,1,181913.49,2023-05-22,Ativa,
1413,53.544.078/9677-88,Joinville,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,4747.18,1,24827.89,2022-12-25,Ativa,
1414,04.094.711/2461-75,Jaraguá do Sul,Norte Catarinense,Educação e treinamento,Média,Sociedade Anônima Fechada,48772773.81,77,39255327.51,2020-07-08,Ativa,
1415,64.426.244/7049-86,São José,Grande Florianópolis,Tecnologia da informação,MEI,Empresário Individual,18909.61,0,77726.94,2020-01-24,Ativa,
1416,43.073.246/6899-74,Itajaí,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,9800.53,0,27934.2,2024-08-18,Ativa,
1417,89.924.692/4704-81,Balneário Camboriú,Vale do Itajaí,Agronegócio,MEI,Empresário Individual,5954.86,0,47426.42,2019-08-22,Ativa,
1418,51.812.759/1700-34,Florianópolis,Grande Florianópolis,Indústria metalúrgica,MEI,Empresário Individual,9094.1,1,28909.21,2024-09-26,Ativa,
1419,62.512.311/5411-19,Joinville,Norte Catarinense,Transporte e logística,MEI,Empresário Individual,17877.69,1,32425.24,2022-12-21,Ativa,
1420,22.144.267/3538-42,São Bento do Sul,Norte Catarinense,Imobiliário,ME,Sociedade Limitada,14053.1,2,150149.2,2023-04-03,Ativa,
1421,61.845.537/5826-82,Blumenau,Vale do Itajaí,Serviços profissionais,MEI,Empresário Individual,19303.09,1,58097.21,2020-03-21,Ativa,
1422,93.580.352/8805-07,Palhoça,Grande Florianópolis,Saúde e bem-estar,MEI,Empresário Individual,17178.77,1,78756.61,2022-01-09,Ativa,
1423,47.777.444/9649-30,Blumenau,Vale do Itajaí,Turismo e hotelaria,ME,Sociedade Limitada,215068.26,8,181638.7,2019-12-27,Baixada,2021-06-02
1424,53.779.385/4609-12,Blumenau,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,8344.11,0,38922.05,2019-02-05,Ativa,
1425,93.247.079/2625-17,Joinville,Norte Catarinense,Imobiliário,MEI,Empresário Individual,17334.46,1,62448.59,2020-10-05,Baixada,2022-12-29
